"","country","year","adpop_bfm","average_income_bfm","bfm_totinc"
"115","MEX",2014,75929744,89318.84375,6781956940313.5
"116","MEX",2016,78083184,113257.96875,8843542813372.5
"117","MEX",2018,81246304,127305.640625,10343112779133.5
"118","MEX",2020,85214176,129445.359375,11030579636164.5
"119","PER",2000,14620921,7266.990234375,106250090124.568
"120","PER",2001,14990941,7835.482421875,117461254692.865
"121","PER",2002,15438608,8865.8740234375,136876753625.234
"122","PER",2003,15757288,6066.46142578125,95590979826.9258
"123","PER",2004,16187327,8415.291015625,136221067470.084
"124","PER",2005,16565623,7964.69580078125,131940147945.425
"125","PER",2006,16873388,9058.60546875,152849364813.141
"126","PER",2007,17154508,10772.1923828125,184791660408.496
"127","PER",2008,17703800,11312.796875,200279493315.625
"128","PER",2009,18113116,12126.3291015625,219645605670.777
"129","PER",2010,18470570,12891.2939453125,238109547207.471
"130","PER",2011,18874198,13287.9404296875,250799218682.127
"131","PER",2012,19570026,14334.080078125,280518319814.988
"132","PER",2013,19982772,14723.294921875,294212245512.586
"133","PER",2014,20364464,14874.529296875,302911816383.156
"134","PER",2015,20516912,15673.1962890625,321565589021.422
"135","PER",2016,20745542,17115.03515625,355060680665.461
"136","PER",2017,21085208,18858.326171875,397631729865.828
"137","PER",2018,21426284,18416.408203125,394595192420.086
"138","PER",2019,21739932,17292.751953125,375943251553.805
"139","PER",2020,21816540,13192.662109375,287818240615.664
"140","PER",2021,22147056,15789.1494140625,349683176265.609
"141","SLV",2001,3526477,2198.81616210938,7754074622.90698
"142","SLV",2002,3605415,2256.46020507812,8135475470.29175
"143","SLV",2003,3635660,2226.38330078125,8094372711.31836
"144","SLV",2004,3756810,2268.01831054688,8520513869.24561
"145","SLV",2005,3799395,2304.12060546875,8754264307.81494
"146","SLV",2006,3874863,2428.26708984375,9409202300.55322
"147","SLV",2007,3254371,2666.3173828125,8677185967.4209
"148","SLV",2009,3528447,2684.04150390625,9470498192.3335
"149","SLV",2010,3581357,2607.57543945312,9338658553.11353
"150","SLV",2012,3729186,2690.88012695312,10034792497.1118
"151","SLV",2013,3807533,3220.994140625,12264041483.2363
"152","SLV",2014,3955582,2975.3994140625,11769436365.0762
"153","SLV",2015,4054747,2881.1982421875,11682529928.915
"154","SLV",2016,4146368,3056.92895507812,12675152397.6094
"155","SLV",2017,4231575,2843.17626953125,12031113622.7417
"156","SLV",2018,4365031,3079.11499023438,13440432384.9377
"157","SLV",2019,4474143,3316.44555664062,14838251672.1248
"158","SLV",2020,4306756,3417.7958984375,14719612992.3711
"159","SLV",2021,4326649,3252.10327148438,14070709367.4646
"160","URY",2000,1842014,81634.4609375,150371819929.328
"161","URY",2001,1851978,77548.1484375,143617464846.984
"162","URY",2002,1886748,75115.2890625,141723621408.094
"163","URY",2003,1906239,76875.625,146543314524.375
"164","URY",2004,1883160,85700.1796875,161387150380.312
"165","URY",2005,1937217,89658.5390625,173688046067.039
"166","URY",2007,2274986,121654.921875,276763244096.719
"167","URY",2008,2291000,146887.546875,336519369890.625
"168","URY",2009,2318720,154963.0625,359315952280
"169","URY",2010,2317102,173581.625,402206330450.75
"170","URY",2011,2370327,196087.0625,464790458594.438
"171","URY",2012,2385476,212423.109375,506730229259.438
"172","URY",2013,2406475,244514.28125,588417504971.094
"173","URY",2014,2434449,291253.21875,709041107132.719
"174","URY",2015,2464094,306336.0625,754840853589.875
"175","URY",2016,2483643,347696.28125,863553435052.594
"176","URY",2017,2495222,389795.96875,972627476736.312
"177","URY",2018,2514364,411924.84375,1035728997830.62
"178","URY",2019,2530708,435148.4375,1101233631968.75
"179","URY",2020,2549399,448623.875,1143721258301.12
"180","URY",2021,2558040,495614.90625,1267802754783.75
