country,year,denom_concept,has_numerator,has_population,has_denominator,has_all
CHL,2008,middle,TRUE,TRUE,TRUE,TRUE
CHL,2008,upper,TRUE,TRUE,TRUE,TRUE
CHL,2009,lower,TRUE,TRUE,TRUE,TRUE
CHL,2009,middle,TRUE,TRUE,TRUE,TRUE
CHL,2009,upper,TRUE,TRUE,TRUE,TRUE
CHL,2010,middle,TRUE,TRUE,TRUE,TRUE
CHL,2010,upper,TRUE,TRUE,TRUE,TRUE
CHL,2011,lower,TRUE,TRUE,TRUE,TRUE
CHL,2011,middle,TRUE,TRUE,TRUE,TRUE
CHL,2011,upper,TRUE,TRUE,TRUE,TRUE
CHL,2012,middle,TRUE,TRUE,TRUE,TRUE
CHL,2012,upper,TRUE,TRUE,TRUE,TRUE
CHL,2013,lower,TRUE,TRUE,TRUE,TRUE
CHL,2013,middle,TRUE,TRUE,TRUE,TRUE
CHL,2013,upper,TRUE,TRUE,TRUE,TRUE
CHL,2014,middle,TRUE,TRUE,TRUE,TRUE
CHL,2014,upper,TRUE,TRUE,TRUE,TRUE
CHL,2015,lower,TRUE,TRUE,TRUE,TRUE
CHL,2015,middle,TRUE,TRUE,TRUE,TRUE
CHL,2015,upper,TRUE,TRUE,TRUE,TRUE
CHL,2016,middle,TRUE,TRUE,TRUE,TRUE
CHL,2016,upper,TRUE,TRUE,TRUE,TRUE
CHL,2017,lower,TRUE,TRUE,TRUE,TRUE
CHL,2017,middle,TRUE,TRUE,TRUE,TRUE
CHL,2017,upper,TRUE,TRUE,TRUE,TRUE
CHL,2018,middle,TRUE,TRUE,TRUE,TRUE
CHL,2018,upper,TRUE,TRUE,TRUE,TRUE
CHL,2019,middle,TRUE,TRUE,TRUE,TRUE
CHL,2019,upper,TRUE,TRUE,TRUE,TRUE
CHL,2020,lower,TRUE,TRUE,TRUE,TRUE
CHL,2020,middle,TRUE,TRUE,TRUE,TRUE
CHL,2020,upper,TRUE,TRUE,TRUE,TRUE
CHL,2021,middle,TRUE,TRUE,TRUE,TRUE
CHL,2021,upper,TRUE,TRUE,TRUE,TRUE
CHL,2022,middle,TRUE,TRUE,TRUE,TRUE
CHL,2022,upper,TRUE,TRUE,TRUE,TRUE
COL,2014,lower,TRUE,TRUE,TRUE,TRUE
COL,2014,middle,TRUE,TRUE,TRUE,TRUE
COL,2014,upper,TRUE,TRUE,TRUE,TRUE
COL,2015,lower,TRUE,TRUE,TRUE,TRUE
COL,2015,middle,TRUE,TRUE,TRUE,TRUE
COL,2015,upper,TRUE,TRUE,TRUE,TRUE
COL,2016,lower,TRUE,TRUE,TRUE,TRUE
COL,2016,middle,TRUE,TRUE,TRUE,TRUE
COL,2016,upper,TRUE,TRUE,TRUE,TRUE
COL,2017,lower,TRUE,TRUE,TRUE,TRUE
COL,2017,middle,TRUE,TRUE,TRUE,TRUE
COL,2017,upper,TRUE,TRUE,TRUE,TRUE
COL,2018,lower,TRUE,TRUE,TRUE,TRUE
COL,2018,middle,TRUE,TRUE,TRUE,TRUE
COL,2018,upper,TRUE,TRUE,TRUE,TRUE
COL,2019,lower,TRUE,TRUE,TRUE,TRUE
COL,2019,middle,TRUE,TRUE,TRUE,TRUE
COL,2019,upper,TRUE,TRUE,TRUE,TRUE
COL,2020,lower,TRUE,TRUE,TRUE,TRUE
COL,2020,middle,TRUE,TRUE,TRUE,TRUE
COL,2020,upper,TRUE,TRUE,TRUE,TRUE
COL,2021,lower,TRUE,TRUE,TRUE,TRUE
COL,2021,middle,TRUE,TRUE,TRUE,TRUE
COL,2021,upper,TRUE,TRUE,TRUE,TRUE
COL,2022,middle,TRUE,TRUE,TRUE,TRUE
COL,2022,upper,TRUE,TRUE,TRUE,TRUE
COL,2023,middle,TRUE,TRUE,TRUE,TRUE
COL,2023,upper,TRUE,TRUE,TRUE,TRUE
CRI,2010,lower,TRUE,TRUE,TRUE,TRUE
CRI,2011,lower,TRUE,TRUE,TRUE,TRUE
CRI,2012,lower,TRUE,TRUE,TRUE,TRUE
CRI,2012,middle,TRUE,TRUE,TRUE,TRUE
CRI,2012,upper,TRUE,TRUE,TRUE,TRUE
CRI,2013,lower,TRUE,TRUE,TRUE,TRUE
CRI,2013,middle,TRUE,TRUE,TRUE,TRUE
CRI,2013,upper,TRUE,TRUE,TRUE,TRUE
CRI,2014,lower,TRUE,TRUE,TRUE,TRUE
CRI,2014,middle,TRUE,TRUE,TRUE,TRUE
CRI,2014,upper,TRUE,TRUE,TRUE,TRUE
CRI,2015,lower,TRUE,TRUE,TRUE,TRUE
CRI,2015,middle,TRUE,TRUE,TRUE,TRUE
CRI,2015,upper,TRUE,TRUE,TRUE,TRUE
CRI,2016,lower,TRUE,TRUE,TRUE,TRUE
CRI,2016,middle,TRUE,TRUE,TRUE,TRUE
CRI,2016,upper,TRUE,TRUE,TRUE,TRUE
DOM,2012,lower,TRUE,TRUE,TRUE,TRUE
DOM,2012,upper,TRUE,TRUE,TRUE,TRUE
DOM,2013,lower,TRUE,TRUE,TRUE,TRUE
DOM,2013,upper,TRUE,TRUE,TRUE,TRUE
DOM,2014,lower,TRUE,TRUE,TRUE,TRUE
DOM,2014,upper,TRUE,TRUE,TRUE,TRUE
DOM,2015,lower,TRUE,TRUE,TRUE,TRUE
DOM,2015,upper,TRUE,TRUE,TRUE,TRUE
DOM,2016,lower,TRUE,TRUE,TRUE,TRUE
DOM,2016,upper,TRUE,TRUE,TRUE,TRUE
DOM,2017,lower,TRUE,TRUE,TRUE,TRUE
DOM,2018,lower,TRUE,TRUE,TRUE,TRUE
DOM,2019,lower,TRUE,TRUE,TRUE,TRUE
DOM,2020,lower,TRUE,TRUE,TRUE,TRUE
MEX,2009,middle,TRUE,TRUE,TRUE,TRUE
MEX,2009,upper,TRUE,TRUE,TRUE,TRUE
MEX,2010,lower,TRUE,TRUE,TRUE,TRUE
MEX,2010,middle,TRUE,TRUE,TRUE,TRUE
MEX,2010,upper,TRUE,TRUE,TRUE,TRUE
MEX,2011,middle,TRUE,TRUE,TRUE,TRUE
MEX,2011,upper,TRUE,TRUE,TRUE,TRUE
MEX,2012,lower,TRUE,TRUE,TRUE,TRUE
MEX,2012,middle,TRUE,TRUE,TRUE,TRUE
MEX,2012,upper,TRUE,TRUE,TRUE,TRUE
MEX,2013,middle,TRUE,TRUE,TRUE,TRUE
MEX,2013,upper,TRUE,TRUE,TRUE,TRUE
MEX,2014,lower,TRUE,TRUE,TRUE,TRUE
MEX,2014,middle,TRUE,TRUE,TRUE,TRUE
MEX,2014,upper,TRUE,TRUE,TRUE,TRUE
PER,2016,lower,TRUE,TRUE,TRUE,TRUE
PER,2016,middle,TRUE,TRUE,TRUE,TRUE
PER,2016,upper,TRUE,TRUE,TRUE,TRUE
PER,2017,lower,TRUE,TRUE,TRUE,TRUE
PER,2017,middle,TRUE,TRUE,TRUE,TRUE
PER,2017,upper,TRUE,TRUE,TRUE,TRUE
PER,2018,lower,TRUE,TRUE,TRUE,TRUE
PER,2018,middle,TRUE,TRUE,TRUE,TRUE
PER,2018,upper,TRUE,TRUE,TRUE,TRUE
SLV,2001,lower,TRUE,TRUE,TRUE,TRUE
SLV,2002,lower,TRUE,TRUE,TRUE,TRUE
SLV,2003,lower,TRUE,TRUE,TRUE,TRUE
SLV,2004,lower,TRUE,TRUE,TRUE,TRUE
SLV,2005,lower,TRUE,TRUE,TRUE,TRUE
SLV,2006,lower,TRUE,TRUE,TRUE,TRUE
SLV,2007,lower,TRUE,TRUE,TRUE,TRUE
SLV,2009,lower,TRUE,TRUE,TRUE,TRUE
SLV,2010,lower,TRUE,TRUE,TRUE,TRUE
SLV,2012,lower,TRUE,TRUE,TRUE,TRUE
SLV,2013,lower,TRUE,TRUE,TRUE,TRUE
SLV,2014,lower,TRUE,TRUE,TRUE,TRUE
SLV,2014,upper,TRUE,TRUE,TRUE,TRUE
SLV,2015,lower,TRUE,TRUE,TRUE,TRUE
SLV,2015,upper,TRUE,TRUE,TRUE,TRUE
SLV,2016,lower,TRUE,TRUE,TRUE,TRUE
SLV,2016,upper,TRUE,TRUE,TRUE,TRUE
SLV,2017,lower,TRUE,TRUE,TRUE,TRUE
SLV,2017,upper,TRUE,TRUE,TRUE,TRUE
URY,2009,lower,TRUE,TRUE,TRUE,TRUE
URY,2010,lower,TRUE,TRUE,TRUE,TRUE
URY,2011,lower,TRUE,TRUE,TRUE,TRUE
URY,2012,lower,TRUE,TRUE,TRUE,TRUE
URY,2012,upper,TRUE,TRUE,TRUE,TRUE
URY,2013,lower,TRUE,TRUE,TRUE,TRUE
URY,2014,lower,TRUE,TRUE,TRUE,TRUE
URY,2015,lower,TRUE,TRUE,TRUE,TRUE
URY,2016,lower,TRUE,TRUE,TRUE,TRUE
URY,2016,upper,TRUE,TRUE,TRUE,TRUE
